MES,LATITUD,LONGITUD,CANTIDAD
2010-01,1.308465061,-74.197469706,3
2010-01,0.943939454,-75.646685441,1
2010-01,4.675769488,-72.212802727,1
2010-01,5.242744761,-72.25802857,7
2010-01,2.329337283,-77.26314906,1
2010-01,3.062875557,-76.321279771,5
2010-01,3.136753606,-76.209645692,1
2010-01,2.534488312,-77.005112065,1
2010-01,2.187473572,-76.78228032,4
2010-01,3.228235212,-76.216708274,4
2010-01,3.194730618,-76.336241803,1
2010-01,2.157983906,-77.046576199,11
2010-01,2.471704362,-76.591944191,63
2010-01,3.266724205,-76.41846353,3
2010-01,2.260421954,-76.74582033,1
2010-01,2.984467338,-76.498731453,11
2010-01,2.369625312,-76.710519323,1
2010-01,2.475213085,-76.39675937,1
2010-01,8.248735219,-73.6227405,4
2010-01,9.949215908,-73.223582441,1
2010-01,9.946391309,-73.866288153,1
2010-01,9.238771332,-73.488108612,1
2010-01,8.337726622,-73.706491986,1
2010-01,8.201070245,-73.487501265,1
2010-01,10.169527121,-73.287982702,1
2010-01,10.218902768,-73.457847638,21
2010-01,8.383938499,-77.265602561,1
2010-01,5.810938364,-76.191894424,2
2010-01,5.7543229,-76.65015147,10
2010-01,4.372744676,-74.671110509,2
2010-01,4.559962881,-74.525695298,4
2010-01,4.930402779,-74.029851152,1
2010-01,4.857823671,-74.038095385,2
2010-01,4.402259457,-73.94482435,1
2010-01,4.834052334,-74.338022898,9
2010-01,4.743996711,-74.198659923,6
2010-01,4.323534028,-74.388591139,3
2010-01,4.338154518,-74.811439221,16
2010-01,5.173554764,-74.640146507,1
2010-01,4.978619842,-74.339360611,1
2010-01,4.75156751,-74.289630496,4
2010-01,4.672714223,-74.235731935,2
2010-01,5.619752748,-74.580192303,2
2010-01,4.140958464,-74.353976921,2
2010-01,4.465970004,-74.263289627,3
2010-01,4.581866267,-74.240296958,45
2010-01,4.666608192,-74.367649558,2
2010-01,4.452072974,-74.648644062,1
2010-01,4.436054105,-74.485433391,2
2010-01,5.06631685,-74.049603234,5
2010-01,8.265768688,-75.048684357,2
2010-01,8.895667051,-75.878423912,6
2010-01,9.053287104,-75.373873626,2
2010-01,7.866432635,-75.875339255,10
2010-01,8.584698016,-75.950550788,81
2010-01,8.181108488,-75.68923803,4
2010-01,8.799007016,-75.429256639,5
2010-01,3.516363079,-68.008347279,7
2010-01,1.613634284,-73.0342639,1
2010-01,2.143447362,-72.243648687,4
2010-01,1.363974932,-72.018109505,1
2010-01,2.484286091,-71.919169926,4
2010-01,1.709114446,-75.996641844,1
2010-01,3.243441923,-75.276706552,2
2010-01,2.07922808,-75.768582878,2
2010-01,2.658666675,-75.329438026,4
2010-01,2.172441496,-75.571312425,9
2010-01,2.328076586,-76.001172988,1
2010-01,2.993360046,-75.272362322,47
2010-01,2.914491967,-75.440661177,2
2010-01,1.848217185,-76.05217643,9
2010-01,2.79286115,-75.235368675,1
2010-01,2.100382849,-76.228978708,1
2010-01,1.924165493,-76.416565503,1
2010-01,2.646563339,-75.515926448,1
2010-01,11.381577644,-72.295008177,3
2010-01,11.242972141,-72.958763152,8
2010-01,10.81311496,-73.086599864,4
2010-01,10.644908765,-73.879722568,1
2010-01,10.857545516,-74.025004934,10
2010-01,10.459378178,-73.884065179,1
2010-01,10.433033993,-74.412511966,1
2010-01,9.76945611,-74.601815758,2
2010-01,10.847589014,-74.360579422,1
2010-01,11.121894357,-73.885278551,72
2010-01,10.89027616,-74.629660378,4
2010-01,10.796346583,-74.177983168,1
2010-01,3.943383008,-73.571351617,2
2010-01,2.161863917,-74.094880756,4
2010-01,3.515860962,-72.656727424,1
2010-01,4.09166877,-73.492915945,50
2010-01,1.245254077,-77.53115777,5
2010-01,1.44563774,-78.156210724,5
2010-01,1.386497844,-77.26969022,1
2010-01,1.209066732,-77.440639207,1
2010-01,2.216382295,-77.995332339,5
2010-01,1.887689437,-77.483195889,1
2010-01,1.409430207,-76.985269588,2
2010-01,1.43026376,-77.383115973,1
2010-01,0.497708465,-77.240476252,3
2010-01,1.338034371,-77.422930412,1
2010-01,1.619697376,-77.142846218,1
2010-01,1.155947016,-77.846646464,1
2010-01,2.287856547,-78.31219024,1
2010-01,1.083605497,-77.206100743,99
2010-01,1.735354202,-77.48134359,3
2010-01,1.147671848,-78.05811118,1
2010-01,1.897581156,-78.3811163,2
2010-01,1.430555262,-77.691795591,3
2010-01,1.574550638,-78.615409629,4
2010-01,1.288105409,-77.456700683,2
2010-01,1.064078111,-77.350634907,1
2010-01,1.134440523,-77.63073238,2
2010-01,7.583353136,-72.583909779,1
2010-01,7.502182366,-72.797034471,4
2010-01,8.081200092,-72.631521176,8
2010-01,7.742291094,-72.526807835,8
2010-01,8.206637527,-73.337650332,2
2010-01,7.379057623,-72.675903475,1
2010-01,7.847872195,-72.609712034,4
2010-01,8.112041811,-72.488626408,212
2010-01,7.180991879,-72.786178841,1
2010-01,7.225864961,-72.305934177,1
2010-01,7.718635863,-72.483611758,2
2010-01,1.26070915,-76.665843491,13
2010-01,0.673756323,-76.943139229,1
2010-01,0.433884539,-76.521582034,7
2010-01,0.70416861,-76.498644148,2
2010-01,0.0594719700001,-75.064793271,2
2010-01,0.272449048,-76.845104586,3
2010-01,1.228746922,-76.913075854,1
2010-01,0.42012589,-76.770670262,3
2010-01,0.911149515,-76.744954473,2
2010-01,4.499501128,-75.724899852,295
2010-01,4.366632382,-75.74403734,2
2010-01,4.467879428,-75.65674719,78
2010-01,4.604845344,-75.666884494,17
2010-01,4.395975176,-75.651323077,3
2010-01,4.669325347,-75.671469407,3
2010-01,4.180107773,-75.760566947,5
2010-01,4.426884849,-75.819273353,21
2010-01,4.521890945,-75.818065942,90
2010-01,4.30397934,-75.683304171,1
2010-01,4.610273497,-75.792050869,75
2010-01,4.611314654,-75.530921122,3
2010-01,5.139635357,-75.953538705,7
2010-01,4.918349676,-75.942753858,2
2010-01,5.200398696,-75.867938933,7
2010-01,4.842021144,-75.669936549,84
2010-01,5.320295966,-75.804366589,3
2010-01,4.988127679,-76.008226782,3
2010-01,4.904704187,-75.852081623,62
2010-01,4.942936185,-75.753213896,7
2010-01,4.803662773,-75.795790934,164
2010-01,5.323906864,-75.713396832,3
2010-01,4.833789828,-75.549501744,163
2010-01,5.076100313,-76.02286946,8
2010-01,7.054074558,-73.782116461,16
2010-01,7.155833544,-73.111569971,154
2010-01,6.40972961,-74.170304269,6
2010-01,7.524284721,-73.181581916,1
2010-01,7.079704598,-73.067992503,47
2010-01,6.976734127,-73.205267004,32
2010-01,7.204060063,-73.291380974,4
2010-01,6.97082104,-73.014811964,10
2010-01,6.685278856,-73.957612558,1
2010-01,6.550778765,-73.118879111,5
2010-01,6.894292346,-73.539003336,1
2010-01,6.462088241,-73.244360009,3
2010-01,6.00741043,-73.690572558,1
2010-01,6.813725566,-73.309750443,1
2010-01,9.549655271,-75.188559161,2
2010-01,9.256299047,-75.093970889,2
2010-01,9.814599536,-75.505229192,1
2010-01,9.316673928,-75.431749665,13
2010-01,4.803365246,-74.80998676,1
