MES,CANTIDAD,LATITUD,LONGITUD
2015-06,1,0.42012589,-76.770670262
2015-07,1,0.42012589,-76.770670262
2015-10,5,0.42012589,-76.770670262
2015-12,9,0.42012589,-76.770670262
2010-01,7,0.433884539,-76.521582034
2010-02,5,0.433884539,-76.521582034
2010-03,8,0.433884539,-76.521582034
2010-04,28,0.433884539,-76.521582034
2010-05,15,0.433884539,-76.521582034
2010-06,3,0.433884539,-76.521582034
2010-07,5,0.433884539,-76.521582034
2010-08,11,0.433884539,-76.521582034
2010-09,7,0.433884539,-76.521582034
2010-10,18,0.433884539,-76.521582034
2010-11,5,0.433884539,-76.521582034
2010-12,8,0.433884539,-76.521582034
2011-01,7,0.433884539,-76.521582034
2011-02,6,0.433884539,-76.521582034
2011-03,4,0.433884539,-76.521582034
2011-04,4,0.433884539,-76.521582034
2011-05,6,0.433884539,-76.521582034
2011-06,3,0.433884539,-76.521582034
2011-07,2,0.433884539,-76.521582034
2011-08,6,0.433884539,-76.521582034
2011-09,11,0.433884539,-76.521582034
2011-10,15,0.433884539,-76.521582034
2011-11,5,0.433884539,-76.521582034
2011-12,4,0.433884539,-76.521582034
2012-01,1,0.433884539,-76.521582034
2012-02,3,0.433884539,-76.521582034
2012-03,6,0.433884539,-76.521582034
2012-04,11,0.433884539,-76.521582034
2012-05,12,0.433884539,-76.521582034
2012-06,4,0.433884539,-76.521582034
2012-07,12,0.433884539,-76.521582034
2012-08,3,0.433884539,-76.521582034
2012-09,6,0.433884539,-76.521582034
2012-10,7,0.433884539,-76.521582034
2012-11,14,0.433884539,-76.521582034
2012-12,1,0.433884539,-76.521582034
2013-01,5,0.433884539,-76.521582034
2013-02,8,0.433884539,-76.521582034
2013-03,3,0.433884539,-76.521582034
2013-04,6,0.433884539,-76.521582034
2013-05,6,0.433884539,-76.521582034
2013-06,18,0.433884539,-76.521582034
2013-07,7,0.433884539,-76.521582034
2013-08,4,0.433884539,-76.521582034
2013-09,7,0.433884539,-76.521582034
2013-10,3,0.433884539,-76.521582034
2013-11,7,0.433884539,-76.521582034
2013-12,2,0.433884539,-76.521582034
2014-01,5,0.433884539,-76.521582034
2014-02,8,0.433884539,-76.521582034
2014-03,9,0.433884539,-76.521582034
2014-04,14,0.433884539,-76.521582034
2014-05,6,0.433884539,-76.521582034
2014-06,1,0.433884539,-76.521582034
2014-07,5,0.433884539,-76.521582034
2014-08,17,0.433884539,-76.521582034
2014-09,10,0.433884539,-76.521582034
2014-10,3,0.433884539,-76.521582034
2014-11,2,0.433884539,-76.521582034
2014-12,9,0.433884539,-76.521582034
2015-01,19,0.433884539,-76.521582034
2015-02,18,0.433884539,-76.521582034
2015-03,20,0.433884539,-76.521582034
2015-04,9,0.433884539,-76.521582034
2015-05,12,0.433884539,-76.521582034
2015-06,13,0.433884539,-76.521582034
2015-07,21,0.433884539,-76.521582034
2015-08,24,0.433884539,-76.521582034
2015-09,21,0.433884539,-76.521582034
2015-10,6,0.433884539,-76.521582034
2015-11,2,0.433884539,-76.521582034
2010-01,3,0.497708465,-77.240476252
2010-02,18,0.497708465,-77.240476252
2010-03,35,0.497708465,-77.240476252
2010-04,23,0.497708465,-77.240476252
2010-05,23,0.497708465,-77.240476252
2010-06,22,0.497708465,-77.240476252
2010-07,23,0.497708465,-77.240476252
2010-08,8,0.497708465,-77.240476252
2010-09,13,0.497708465,-77.240476252
2010-10,7,0.497708465,-77.240476252
